Name,Address,Grades,Tips,Sentiment,Latitude,Longitude 
Alex Pizza,"'1252 Washington St.,Boston,MA,USA'",'A; C','Call and order before you get in. It takes forever otherwise; Great salads! Caribbean salad is my favorite. Yum!; Carribean chic salad with ranch dressing. Fantastic.; Grilled chicken over Greek salad. Filling  tasty and still a pretty good deal.',0.325,42.3424487,-71.0675183
American Bakers,"'39 First Ave.,Boston,MA,USA'",'A; C','Great sandwiches  coffee  and bakery. Some favorites are the pistachio muffin  spicy BLAT  hang's iced coffee  and roast beef sub! Coffee and bakery are much better than nearby style cafe.; The large iced coffee is huge and a great deal!; Best espresso macchiato in charlestown; Tarragon chicken salad wrap is the best!; They have a few pistachio muffins in the morning.. Yumm',0.457619048,42.375751,-71.053617
Amici,"'111 N Washington St.,Boston,MA,USA'",'A; C','The broccoli fritti appetizer was loved by everyone at the table.',0.7,42.3655881,-71.0581531
Amrhein's,"'80 W Broadway.,Boston,MA,USA'",'A; C','Everyone gets a complimentary bread buns with olive oil. Try Siracha wings as a starter.; Between lobster roll and lobster mac and cheese  the former def wins due to the lack of lobster meat in the latter.; Filet mignon was cooked to perfection. Comes with a side of mashed potatoes with mushrooms and steamed asparagus.; Great comfort food.  The short rib mac and cheese is a small portion  but packs a ton of flavor.; Shepherd's pie and chicken pot pie are always fantastic!',0.095416667,42.3418392,-71.0551081
Andre's Cafe,"'809 Harrison Ave.,Boston,MA,USA'",'A; C',"'Italian sandwich is big and delicious. Students also get a free can of soda  a free water  or a free bag of chips; We can't emphasize enough how good the onion rings are - like  ""make it your last meal"" good. Pair it with one of Andre's legendary burgers - made from scratch daily - and enjoy!; Holy froyo; Amazing food and the staff is so sweet! Def nice to support a family restaurant.; Burgers are great  froyo is great  but the falafel and schwarma are only so so.'",0.37202381,42.3358249,-71.0742595
Angela's Cafe,"'131 Lexington St.,Boston,MA,USA'",'A; C','Hidden gem!  Definitely try the breakfast/brunch.; Pretty much disregarded a reservation but food was good and service great. Mole was the highlight.; I went eith agroup of Mexican friends. We were unimpressed.; Great authentic Mexican food! Definitely try the Sampler Platter to see what's best!; Muy rico  bien servido. Se acerca mucho a lo tradicional mexicano. Los tacos de papa son ricos. La crema poblana no es tan recomendable.',0.168666667,42.3785276,-71.034964
Anh Hong Restaurant Llc,"'291 Adams St.,Boston,MA,USA'",'A; C','',0,42.299193,-71.058168
Another Cup? Coffee House,"'1 Nassau St.,Boston,MA,USA'",'A; C','This is such an old person town!',0.0625,42.34858,-71.062941
Anthem,"'100-199 Faneuil Hall Market Pl.,Boston,MA,USA'",'A; C','Bloody clamatos  brunch.; Lobster Mac and Cheese is very good.; A classic Ruben is spot on here at this nice little cozy place downtown _Ù÷ã_Ùà__Ùàü.; I just wanna say that me and my fr€±ends had a terr€±ble exp€±r€±ence there. They literally refused to f€±nd us a place and serve us. They were very rude and unpol€±te. Trash serv€±ce!; Duck chicken wings. Bread and olive tapenade.',-0.176541667,42.3597994,-71.0544602
Anthony's Cafe,"'252 Commercial St.,Boston,MA,USA'",'A; C','Nice inexpensive place to get some homemade breakfast.; Great breakfast !!! Til 3:00; Great iced coffee and easy/inexpensive sandwiches; Cash only but mighty fine breakfast bagels and pancakes; Super quick service! Great iced coffee  inexpensive menu. Cash only!',0.611944444,42.363993,-71.0513662
Artu,"'89 Charles St.,Boston,MA,USA'",'A; C','Great negroni. Ravioli was good but would have liked bigger portion. Bread was no good.; The music after 9pm; Great wine selection!; Has take out  bar  modern decor restaurant.; Excellent atmosphere! Great service  vongole pasta is to die for! Highly recommend this restaurant',0.454,42.3586573,-71.0704304
Ashley's Breakfast Shoppe,"'260 Bowdoin St.,Boston,MA,USA'",'A; C','Great grits; Maybe one of the best breakfast spots in Boston... Cash only though... :-/',0.525,42.3068012,-71.0666751
Asian Too Express,"'200 Logan Airport Trmnl B.,Boston,MA,USA'",'A; C','Okey dokey  try their pepper chicken; Waaaaay better than Asian One!; Come here for delicious breakfast burritos that are large and cheap! Best breakfast in the area!; Remarkably fresh veggies for a food court!; The BEST breakfast this side of security!',0.340714286,42.3645818,-71.0195813
Assaggio Restaurant,"'25 Prince St.,Boston,MA,USA'",'A; C','Great inexpensive lunch options; Lobster ravioli!; Veal Saltimboca was awesome; No pidas la pasta con lobster.. Spicy!!!!!; My all time favorite Italian restaurant in Boston's North End. Create your own or get the special!',0.437321429,42.364571,-71.054175
Asta,"'47 Massachusetts Ave.,Boston,MA,USA'",'A; C','The wine pairings were excellent!; They accommodate dietary restrictions and preferences. Let them know when you sit down  and trust the chef! Get the wine pairing!; Such a hidden gem in Back Bay. Truly  some of the best food I've had.; Eat at the bar; Always go for the 9 course',0.193055556,42.349808,-71.089298
At Union,"'174 Harvard Ave.,Boston,MA,USA'",'A; C','Oyster bar  shucked Brewsters  steamed 2-pounder lobsters and Sam Adams ale! Crowded every time!; I love history. And this place has obvi had a fair share of visitors in the past. It's really big for an old historic location.  AMAZING seafood and not to mention love cared in a great part of Boston; Place screams tourist trap but the food is anything but. Nothing is cheap though; Maybe the best oysters in the town.; Go for lunch. Fresh cod with New England mashed potatoes and cornbread. Maybe some chowder.',0.389191919,42.3513239,-71.1312797
Athan's European Bakery,"'407 Washington.,Boston,MA,USA'",'A; C','Desserts are very good but get your coffee across the street at Cafe Fixe.; Everyone loves this place  i think the best option is a take out. It's not cozy at all; Nice croissants; Eclairs all the way! _Ù÷ã_Ùà__Ùàü; Mocha  pastries  delicious.',0.612,42.3559825,-71.0601915
Atlantic Beer Garden,"'146 Northern Ave.,Boston,MA,USA'",'A; C','Great view but the food sucks. Won't sugar coat it. You come here for drinks and view. If you must do food  the curly fries are good.; decent bar in back  altho divey it has good views; How hard is it to build a bathroom with stalls? Enormous line for the bathroom during peak hours. A problem a large format bar can't afford to have; Roof deck and Mac and cheese balls; Great roof deck. Sub-par food.',0.292619048,42.3512898,-71.0437343
Au Bon Pain,"'360 Huntington Ave.,Boston,MA,USA'",'A; C','They just seem to be putting the labels out wherever they land if at all on the bagels lately.; Too crowded during lunch bcz every business person an their mother piles up here but good lunch food nonetheless; Staff is extra friendly!; I recommend the eggplant soup and black bean burger!; The bagels are good plain  but I you're going to add cream cheese try the veggie',0.133779762,42.339348,-71.0881734
Au Bon Pain,"'101 Merrimac St.,Boston,MA,USA'",'A; C','They just seem to be putting the labels out wherever they land if at all on the bagels lately.; Too crowded during lunch bcz every business person an their mother piles up here but good lunch food nonetheless; Staff is extra friendly!; I recommend the eggplant soup and black bean burger!; The bagels are good plain  but I you're going to add cream cheese try the veggie',0.133779762,42.363848,-71.0616697
Au Bon Pain (4Th Fl),"'133 Brookline Ave.,Boston,MA,USA'",'A; C','Awesome pumpkin soup; Nice coffee place  not espresso though. They've got hot croissants and good stuff for lunch as well. Don't buy bread there  $4 for a baguette! :/; Great soups  bread and sandwiches; I loved the hot oven chicken with Brie cheese _Ù÷ç; Best mac&cheese',0.657083333,42.3457154,-71.1014625
Au Bon Pain Outdoor Cafe,"'310 Congress St.,Boston,MA,USA'",'A; C','They just seem to be putting the labels out wherever they land if at all on the bagels lately.; Too crowded during lunch bcz every business person an their mother piles up here but good lunch food nonetheless; Staff is extra friendly!; I recommend the eggplant soup and black bean burger!; The bagels are good plain  but I you're going to add cream cheese try the veggie',0.133779762,42.3521088,-71.049538
Au Bon Pain Store No. 44,"'90 Oliver.,Boston,MA,USA'",'A; C','',0,42.3559861,-71.0531144
Audubon,"'838 Beacon St.,Boston,MA,USA'",'A; C','Really nothing special and sub pat service. Dumplings were tasty though.; Awesome cocktail list!; Chill atmosphere  excellent food! I really enjoyed Bar!!; Awesome mocktails; The Brussels sprout kebab is AMAZING.',0.753839286,42.347459,-71.10323
Auntie Anne's (No. Ma 110),"'700 Atlantic Ave.,Boston,MA,USA'",'A; C','',0,42.351854,-71.0551404
Aurum,"'377 Centre St.,Boston,MA,USA'",'A; C','So delicious! Get the Fall River for breakfast.; FREE SMALL APP with the order of ANY hand pie Tuesday - Thursday from 11am to 3pm.; Cauliflower fritters are unreal! And their juices really hit the spot; Linguica is always good. Try a fresh squeezed juice with your order!; Check out the offerings at this great new place.',0.456136364,42.3223843,-71.109111
Avana Market Place,"'40 Harrison Ave.,Boston,MA,USA'",'A; C','Great historic building. Lots of bars and restaurants.; Variety of food places to choose from. Italian  seafood  thai  chinese  everything. Bakeries with delicious treats for those with sweet tooth. Seating area but packed on weekends.; Realmente en cuanto a comida es un lugar para turistas  lo cual significa que es caro y malo  es mejor caminar e ir a la calle de restaurantes italianos.; Great lobster bisque  with fresh baked bread bowls. Also look out for the seafood mac and cheese; Same as chelsea market but in boston. Great variety of food',0.3375,42.3516622,-71.0608976
B Good Burger,"'1068 Boylston St.,Boston,MA,USA'",'A; C',"'Probably my favorite ""fast food"" place. Turkey burger (prepared west side)  fries and a side of crisp veggies  and I'm in my happy place.; Everything there can be gluten free! Incredible  local and delicious.; I'm addicted to the fries! Bowls are also delicious and can easily be made vegan. Don't come here during lunch time if you're in a rush  the orders take forever.; The El Guapo chicken sandwich is soooo good. Skip the curried avocado kale and quinoa bowl.; Double el guapo. Fresh and juicy with a side of real fries. 3.75/5'",0.313055556,42.34723,-71.0879901
B. Good,"'50 Northern Ave.,Boston,MA,USA'",'A; C',"'Probably my favorite ""fast food"" place. Turkey burger (prepared west side)  fries and a side of crisp veggies  and I'm in my happy place.; Everything there can be gluten free! Incredible  local and delicious.; I'm addicted to the fries! Bowls are also delicious and can easily be made vegan. Don't come here during lunch time if you're in a rush  the orders take forever.; The El Guapo chicken sandwich is soooo good. Skip the curried avocado kale and quinoa bowl.; Double el guapo. Fresh and juicy with a side of real fries. 3.75/5'",0.313055556,42.3534302,-71.0462
B. Good Burger,"'665 Boylston St.,Boston,MA,USA'",'A; C',"'Probably my favorite ""fast food"" place. Turkey burger (prepared west side)  fries and a side of crisp veggies  and I'm in my happy place.; Everything there can be gluten free! Incredible  local and delicious.; I'm addicted to the fries! Bowls are also delicious and can easily be made vegan. Don't come here during lunch time if you're in a rush  the orders take forever.; The El Guapo chicken sandwich is soooo good. Skip the curried avocado kale and quinoa bowl.; Double el guapo. Fresh and juicy with a side of real fries. 3.75/5'",0.313055556,42.3500162,-71.0787676
B.U. West Campus,"'278 Babcock St.,Boston,MA,USA'",'A; C','Two words: Blueberry Scones.; By far the best place to people watch.; Lots of massholes  bros and bitties to Watch lol; Sunday brunch is to die for  though the DH doesn't open until 10:30 a.m.!; Great spot to fuel up before a sailing race!',0.47,42.353185,-71.121724
B.U.Dining Srvices-2Nd Fl.,"'100 Bay State Rd.,Boston,MA,USA'",'A; C','Less crowded than other labs and they have new iMacs; If we ask you for ur id just show it; Don't use the Windows on the Macs unless you don't want to print whatever you need to print. There is a connection problem. Also don't be a cunt when asked to see your ID or we'll call Suffolk police; Bring your ID to sign up before come into the lab.',-0.012941919,42.3497666,-71.0979066
Back Bay Sandwich,"'31 Saint James Ave.,Boston,MA,USA'",'A; C','Sandwich selections are vast so expect to have a hard time deciding and pretty much everything on their menu is awesome!; I can't ever not order the spicy Italian. Too damn good.; Meatball sub; Eggs on English muffin  wraps; Best muffins in Boston.  French Toast muffin is unreal. Great selection of flavored iced coffee.  Lunch I recommend the carolina bbq wrap',0.236333333,42.3509525,-71.0715658
Bailey & Sage,"'103 State St.,Boston,MA,USA'",'A; C','Serving all your criminal defense needs - call for a free consult today.',0,42.3589479,-71.0550961
Bain Capital (40Th Fl),"'200 Clarendon St.,Boston,MA,USA'",'A; C','No tips from Foursquare!',0,42.3492166,-71.0751249
Bale Restaurant,"'1052 Dorchester Ave.,Boston,MA,USA'",'A; C','Stuffy. Get a whole Boston cream pie for $45 instead of by the slice.; Issue #170 Saveur; Wings and Boston cream pie!; Elegant place to try the original Boston Cream Pie. Must to do!; Steak is better than Ruth's Chris across the street. Seriously  try it. You can do a fixed 3 course dinner for $38  includes the Boston cream pie dessert',0.154652778,42.3147438,-71.0566217
Bangkok Blue Thai,"'651 Boylston St.,Boston,MA,USA'",'A; C','No tips from Foursquare!',0,42.3500514,-71.0785019
Bangkok City Restaurant,"'167 Massachusetts Ave.,Boston,MA,USA'",'A; C','Great chinese seafood.; Roasted whole (or half) garlic chicken is exquisite.; All I can say is mmmmm mmmmm good!! Everything; They got the best Fried Squid I've had in a long time.  The Scallion pancakes are good too. :); Try the oysters steamed with ginger and scallions. The winter melon soup and the fried squid appetizer are also scrumptious.',0.409166667,42.346041,-71.0874756
Bar Medallo,"'411 Chelsea St.,Boston,MA,USA'",'A; C',"'I just can't get on board with their ""live slowly"" motto. They need to hire more employees; The manager will give you free drinks if you beat your chest and yell ""I squared the Four at Jaho!""; Ultimate favorite coffee place! Scarlet beans are a must for a good home brew!; Pretty cool cafe concept which looks like a coffee laboratory. You can have pastry  soups  sandwiches here. Coffee was great!; not crowded at all  medium level background music. booze!'",0.329090909,42.3799331,-71.0268545
Barcelona Restaurant,"'525 Tremont St.,Boston,MA,USA'",'A; C','Excellent‰ù_•üè; Aalways fantastic! Great food  great service! I love this place!; Get the croquettes! Like seriously  get two! For cocktails  i love the whisky root. Must try: Hangar Steak & Pork belly; Go on the weekend  sit at the bar and share some tapas; Friendly staff and amazing cocktails!! Try bluefish !!',0.292083333,42.3449647,-71.0707266
Barlola,"'160 Commonwealth Ave.,Boston,MA,USA'",'A; C','Live music  cozy low key atmosphere and great sangria; Sangria + patio = very underrated spot in Back Bay; Very chill place. Great for a late night drink. Try the Sangria  its really good; Decent food and great sangria. Price are ok for the location.; Amazing red sangria. The vegetable crepes with asparagus sauce was delicious. Loved the garlic shrimp but it is spicy!',0.340982323,42.3512626,-71.0786232
Barney Fannings,"'99 Broad St St.,Boston,MA,USA'",'A; C',"'Come here for happy hour 5-7  50% off appetizers; Delicious sangria and tasty wings  beyond typical ""bar food"" standards. The bartender Angela  is AWESOME!; So they call this an Irish pub but they do not even have Tullamore Dew Irish whiskey... Poser...; 1 dollar oysters; Tried the oysters there great with blue cheese'",0.362222222,42.3572672,-71.0526084
Battery Park Restaurant & Lounge,"'31 Batterymarch St.,Boston,MA,USA'",'A; C','The patio is a real gem; Realllllyyyyy good wings and burgers.; If you're a Notre Dame fan this is the best place in Boston to watch the game. Notre Dame Club takes over in Saturdays during football season. Go Fighting Irish!; Trivia on Mondays and/or their steak and cheese sandwich! #AllGood; The grass fed beef burger is very lean and tasty!',0.27,42.357561,-71.0541472
Beacon Hill Hotel & Bistro,"'25 Charles St.,Boston,MA,USA'",'A; C','I recommend either the duck or the scallops.  That and the 2007 Langeudoc!  Good times... :); Every Sunday come out for a Swissed-up fondue dinner  fittingly served w/ Iggy's bread  sea-salt boiled taters  and a melange of cornichon-pickled veggies like onions  cauliflower  and wild leeks.; Wine dinners held every Monday night from late summer-winter. Fondue sundays also in winter and open 365 days a year!',0.25,42.3569413,-71.069678
Beacon Hill Pub,"'149 Charles St.,Boston,MA,USA'",'A; C','Cheap beers at this dive bar.; They've got tons of arcade games in the back  including two hoops machines _ÙèÛ_ÙèÛ; MIT Sloan Wednesday. Cheap everything. Cash only.; One of my favorite Boston dive bars. Get a narraganset and play some basketball in the back; This is Mary Anne's older and equally trashy sister bar. And I love every minute of it.',0.214444444,42.3604536,-71.0706058
Bean And Cream Co.,"'676 Truman Pw.,Boston,MA,USA'",'A; C','Ugh! Crappy service  OK ice-cream; Baklava!! Yum; Free wifi. Great place to study or relax with a book.',0.366666667,42.2522088,-71.1183164
Beard's Papa,"'31 Harrison Ave.,Boston,MA,USA'",'A; C','I like this place until someone told me they cock most of their dishes in wine _Ùªã_Ù÷_; Good pasta. Half portions available in every item that will help right size a meal. Rewards program is really good for regulars.; Thoroughly pleasant and elegant with good service. One of my favorite restaurants in the Boston area  very appropriate for dates or meetings.; Went for the first time last night. Our tables waitress was entirely awesome. The menu was excellent  as well as the overall atmosphere of the restaurant. Definitely would recommend.; I always get the sweet Italian sausage pasta and ask them to substitute for Alfredo sauce. It's absolutely amazing!',0.448428571,42.3517134,-71.0615759
Bee's Knees Supply Company,"'1314 Commonwealth Ave.,Boston,MA,USA'",'A; C','This place has legit sandwiches and salads. Do not miss the Maine Root Bev machine.; killer breakfast sandwich; Sandwiches are great.; Cindy was amazingly helpful at helping us pick our beer  and they have a wine tasting setup to boot!; Pretty solid craft beer selection and a solid place for lunch. Their Porky Fig  sandwich ($9.75) is pretty damn tasty.',0.335,42.348241,-71.134322
Bell In Hand,"'45 Union St.,Boston,MA,USA'",'A; C','Tasty mussels and clam chowder. The view is nice  and you may as well have their namesake beer.; Great live music; Wonderful service and how can you not enjoy a Sam Adams Boston Lager in the oldest tavern in the US!; Great historical bar. It's the only place to drink Sam Adams-Bell in Hand beer_ÙçÈ. Very friendly waitstaff. 8/10/16; Chicken tenders were good and the Sam Adams Burger was amazing!!',0.42217803,42.3615117,-71.0570445
Ben & Jerry's,"'174 Newbury St.,Boston,MA,USA'",'A; C',"'Ben & Jerry's is great when you buy in their pints but it is so much better when you get it at one of their shops. Definitely get ""The Tonight Dough"" if you're into peanut butter.; Everything... It's ice cream!!! Salted caramel milkshake is fab.; Ask for a free sampler!; Cone day = Free single scoop... But the line is ridiculous right now! Will probably take at least 40 min to get inside the store. Better luck at another branch!; If you ask politely the staff will accommodate your most ridiculous request'",0.225912698,42.3503123,-71.0790014
Ben And Jerry's,"'22 Park Pz.,Boston,MA,USA'",'A; C',"'Ben & Jerry's is great when you buy in their pints but it is so much better when you get it at one of their shops. Definitely get ""The Tonight Dough"" if you're into peanut butter.; Everything... It's ice cream!!! Salted caramel milkshake is fab.; Ask for a free sampler!; Cone day = Free single scoop... But the line is ridiculous right now! Will probably take at least 40 min to get inside the store. Better luck at another branch!; If you ask politely the staff will accommodate your most ridiculous request'",0.225912698,42.3515639,-71.0690784
Benevento's,"'111 Salem St.,Boston,MA,USA'",'A; C','Mussels in marinara sauce as an appetizer is absolutely incredible! Skip the house-made fusilli not worth the add'l $. Bolognese sauce is good too.; We had the lobster ravioli and pizza. Very good food. Great staff!; Mussels are very good; Great pizza. Don't argue. It's a fact.; Great cozy Italian restaurant',0.676333333,42.3642823,-71.055398
Big Bites,"'10 Walk Hill St.,Boston,MA,USA'",'A; C','Tasty House of Pizza style pizza; Pizza is delicious!!!; Very clean!; The lasagna is great! Get it with meatballs! The staff is awesome!',0.648958333,42.2958609,-71.1157992
Billy's Sub Shop,"'57 Berkeley St.,Boston,MA,USA'",'A; C','Foreign object in food. As I was eating a breakfast burrito. I bit into a steel wood screw. About half a inch long. I was shocked. They refunded me my breakfast. They said a screw feel out what looks; Steak & cheese subs are slamming!!!!; During a week of traveling America I'd tried to find more or less tasty American food. Failed. After that  Billy's omelette  pancakes and tea were a treasure.; Walked in and was so happy. The beef pastrami + mustard was a greasy but yummy breakfast. Get the roll if you want a more manageable portion.; Buffalo chicken sub',-0.050416667,42.3466297,-71.0705299
Billy's Texas B.B.Q.,"'530 Washington St.,Boston,MA,USA'",'A; C','It was ok but I didn't have BBQ....my mistake; Got the best calzones in the neighborhood!',0.75,42.2929558,-71.0716503
Bin 26 Enoteca,"'26 Charles St.,Boston,MA,USA'",'A; C','Sit at the bar  order the lobster pasta & a big glass of wine _ÙÔÎ; This is the bread I received with the plate I ordered that came 40 minutes after I gave my order. Do not be fooled by the design. WORST SERVICE.; Come with a close group of friends or on date night  order lots of little plates  and be sure to save room for cheese and desert.; The menu and wine list are both fantastic  but be sure to visit the restrooms. There are more than 3 000 wine bottles hanging from the ceilings!; have your dessert somewhere else!!!',-0.067083333,42.3567874,-71.0700772
Black Seeds,"'131 Tremont St.,Boston,MA,USA'",'A; C','Clam chowder was delicious and the service was amazing. They make you feel like home. I will be back next time I'm in Boston; Black and Tan  atmosphere and friendly people!; The breakfast is great! And the best part  you can have beer; NE Clam Chowder!!; Good potato skins  beer and atmosphere.',0.450208333,42.3560311,-71.0622121
Blackstone Grill,"'15 Union St.,Boston,MA,USA'",'A; C','Beer  music and lobster rolls; Dj JC was awesome! He plays all the songs for the millennials!; Fun place to drink and dance to live music; If crowded  it is probably best to order a bottle of beer. The taps go dry and they don't change the kegs.; Good draught options. It's also cheap and not very crowded on a Saturday night so you can actually have a conversation.',0.386969697,42.36085,-71.056624
Blue State Coffee@957 Comm. Ave. Boston,"'957 Commonwealth Ave.,Boston,MA,USA'",'A; C','',0,42.3519084,-71.1191032
Boca Grande Restaurant,"'366 Washington St.,Boston,MA,USA'",'A; C',"'This card with 10 punches is worth a free burrito!; Come on Wednesdays to get the special!; Burritos made to order and wrapped up in front of your very eyes.  What's not to like?  Be sure to order with their guac -- it's pretty good!; All of the meat here is bland - yes  all of it. You can still make a decent burrito (ask for extra cheese!) but you're practically eating sponge  or burnt sponge in the case of the ""grilled"" ""steak.""; One of these will get you a free burrito (but you still have to pay extra for guacamole and salsa)'",0.300535714,42.3489906,-71.1538177
Bohemios Restaurant,"'30 Bennington St.,Boston,MA,USA'",'A; C','Stuffy. Get a whole Boston cream pie for $45 instead of by the slice.; Issue #170 Saveur; Wings and Boston cream pie!; Elegant place to try the original Boston Cream Pie. Must to do!; Steak is better than Ruth's Chris across the street. Seriously  try it. You can do a fixed 3 course dinner for $38  includes the Boston cream pie dessert',0.154652778,42.3754004,-71.0379654
Boloco,"'1940 Beacon St.,Boston,MA,USA'",'A; C','New England harvest salad is very good if you like squash and beets.; Try the Jimmy Carter smoothie.; Breakfast burritos.; Buffalo burrito  sub chicken for tofu. Great way for a vegetarian to get their buffalo fix!; Get the small bowl. They put the same amount of food in the large bowl  but it costs $2 extra',0.142850649,42.3364038,-71.1500163
Bon Me Foods,"'100 City Hall Pz.,Boston,MA,USA'",'A; C','get the special meats. Their rice is a bit dry; Go for quick lunch.; My favorite lunch spot; Great spot for lunch. The line goes quick and sit by the Ft Point Channel; Bon me sub',0.309047619,42.3594493,-71.0588576
Bon Me No. 5,"'1 Citywide St.,Boston,MA,USA'",'A; C','',0,42.3493824,-71.0777334
Boston Beer Works,"'61 Brookline Ave.,Boston,MA,USA'",'A; C','Great beer flights.  Tasty wings.; Try the Watermelon Beer!! It's great!!; Great selection of microbrews. Food pretty tasty  too.; Re Rico el pollo con papas fritas espaÌ±olas. La moza re buena onda.; The room upstairs is perfect to host a casual event.',0.515,42.34718,-71.0991034
Boston Beer Works (Pier B),"'300 Logan Airport Trmnl C.,Boston,MA,USA'",'A; C','Great beer flights.  Tasty wings.; Try the Watermelon Beer!! It's great!!; Great selection of microbrews. Food pretty tasty  too.; Re Rico el pollo con papas fritas espaÌ±olas. La moza re buena onda.; The room upstairs is perfect to host a casual event.',0.515,42.3660751,-71.020461
Boston Burger Company,"'1 Citywide St.,Boston,MA,USA'",'A; C','Aptly named the ‰ÛÏ420 Burger ‰Ûù this creation ‰ÛÓ which costs $4.20 at 4:20 p.m. ‰ÛÓ has mozzarella sticks  fried mac ‰Û÷n‰Ûª cheese  onion rings  fries  bacon  golden BBQ sauce  and American cheese. DAMN.; Not so great! I had a turkey burger and my husband had a kitchen sink burger  nothing special in either case  the sides  were some sad beans and crips... Probably won't come back; The mac attack is the ultimate burger... My mouth was watering just thinking about it....!!! Enjoy.; Good Burger and beer. What could be worse.; The Pig Pile is delicious and has excellent chip to cheese layering action _Ù÷_',0.312857143,42.3493824,-71.0777334
Boston Chops,"'1375 Washington St.,Boston,MA,USA'",'A; C','Had the oysters  club eye NY strip and the toffee pudding. Really good; Awful environment! The managers seem to torture the staff and this affects your mood when you cant help but realize how anxious they are. Happened both of the evenings I was there; Love this place! Best seafood tower in town!! Service is great and the bartenders keep you laughing.; My group was wanting red meat- I had the halibut - dinner was all good!; The sweetbreads with figs and port wine reduction is a life-changing experience.',0.264166667,42.3416056,-71.0695851
